# x y1 y2 y3
3.200000e-01 3.275302e-02 0.000000e+00 0.000000e+00
3.300000e-01 3.630579e-02 0.000000e+00 0.000000e+00
3.400000e-01 4.054687e-02 0.000000e+00 0.000000e+00
3.500000e-01 4.508883e-02 0.000000e+00 0.000000e+00
3.600000e-01 5.042019e-02 0.000000e+00 0.000000e+00
3.700000e-01 5.389175e-02 0.000000e+00 0.000000e+00
3.800000e-01 6.051444e-02 0.000000e+00 0.000000e+00
3.900000e-01 6.511158e-02 0.000000e+00 0.000000e+00
4.000000e-01 7.122417e-02 0.000000e+00 0.000000e+00
4.100000e-01 7.588728e-02 0.000000e+00 0.000000e+00
4.200000e-01 8.293890e-02 0.000000e+00 0.000000e+00
4.300000e-01 8.775433e-02 0.000000e+00 0.000000e+00
4.400000e-01 9.477537e-02 0.000000e+00 0.000000e+00
4.500000e-01 1.011698e-01 0.000000e+00 0.000000e+00
4.600000e-01 1.065476e-01 0.000000e+00 0.000000e+00
4.700000e-01 1.140286e-01 1.399894e-05 0.000000e+00
4.800000e-01 1.199947e-01 6.999790e-06 0.000000e+00
4.900000e-01 1.277768e-01 1.999960e-06 0.000000e+00
5.000000e-01 1.349762e-01 4.999910e-06 0.000000e+00
5.100000e-01 1.416210e-01 8.098385e-05 0.000000e+00
5.200000e-01 1.486067e-01 6.499237e-05 0.000000e+00
5.300000e-01 1.563342e-01 1.519695e-04 0.000000e+00
5.400000e-01 1.633252e-01 1.709543e-04 0.000000e+00
5.500000e-01 1.697104e-01 3.228794e-04 0.000000e+00
5.600000e-01 1.787764e-01 5.176210e-04 0.000000e+00
5.700000e-01 1.845957e-01 8.990528e-04 1.999960e-06
5.800000e-01 1.922202e-01 1.154562e-03 0.000000e+00
5.900000e-01 2.001343e-01 1.840027e-03 2.299471e-05
6.000000e-01 2.075630e-01 1.846428e-03 1.199856e-05
6.100000e-01 2.139122e-01 3.040123e-03 5.497758e-05
6.200000e-01 2.213150e-01 3.688889e-03 1.599774e-05
6.300000e-01 2.289303e-01 4.607852e-03 9.297828e-05
6.400000e-01 2.348885e-01 6.268728e-03 1.579406e-04
6.500000e-01 2.420534e-01 7.489508e-03 4.286280e-04
6.600000e-01 2.522823e-01 9.631302e-03 2.578653e-04
6.700000e-01 2.583278e-01 1.135879e-02 5.385988e-04
6.800000e-01 2.660740e-01 1.395949e-02 8.791260e-04
6.900000e-01 2.720792e-01 1.691843e-02 1.084536e-03
7.000000e-01 2.787467e-01 2.004830e-02 1.498367e-03
7.100000e-01 2.873070e-01 2.218007e-02 1.762261e-03
7.200000e-01 2.915399e-01 2.613372e-02 3.039944e-03
7.300000e-01 2.994915e-01 2.998993e-02 3.288878e-03
7.400000e-01 3.057317e-01 3.344817e-02 5.146624e-03
7.500000e-01 3.130412e-01 3.747644e-02 6.622626e-03
7.600000e-01 3.185789e-01 4.494953e-02 8.205900e-03
7.700000e-01 3.244594e-01 4.533633e-02 9.089667e-03
7.800000e-01 3.317304e-01 5.009355e-02 1.060079e-02
7.900000e-01 3.379440e-01 5.706713e-02 1.271878e-02
8.000000e-01 3.448547e-01 6.032510e-02 1.585351e-02
8.100000e-01 3.498061e-01 6.585328e-02 1.804371e-02
8.200000e-01 3.559908e-01 7.158416e-02 2.169136e-02
8.300000e-01 3.637020e-01 7.739684e-02 2.144764e-02
8.400000e-01 3.678630e-01 8.377690e-02 2.752748e-02
8.500000e-01 3.750971e-01 8.936043e-02 3.170072e-02
8.600000e-01 3.795430e-01 9.388949e-02 3.412300e-02
8.700000e-01 3.861456e-01 9.861723e-02 4.008344e-02
8.800000e-01 3.912978e-01 1.048802e-01 4.202721e-02
8.900000e-01 3.968042e-01 1.106576e-01 4.535866e-02
9.000000e-01 4.020620e-01 1.168512e-01 5.107571e-02
9.100000e-01 4.078481e-01 1.235597e-01 5.582584e-02
9.200000e-01 4.114794e-01 1.269851e-01 6.356358e-02
9.300000e-01 4.183444e-01 1.343168e-01 6.577062e-02
9.400000e-01 4.230378e-01 1.414335e-01 7.194948e-02
9.500000e-01 4.277244e-01 1.516515e-01 7.744645e-02
9.600000e-01 4.342719e-01 1.493632e-01 8.237978e-02
9.700000e-01 4.380486e-01 1.572958e-01 8.279438e-02
9.800000e-01 4.433596e-01 1.641422e-01 9.524862e-02
9.900000e-01 4.478637e-01 1.688760e-01 9.724394e-02
1.000000e+00 4.524382e-01 1.758864e-01 1.023583e-01
